tc_day,tc_date,beta1,beta2,e_mult,i_mult,R_before,R_after,SSE,RMSE,R2,AIC,BIC
64,2025-07-04,0.21058247366833033,0.1709399372200643,1.4468650293995382,1.1409685987016613,1.0529123683416515,0.8546996861003214,2254310806.396993,3838.4967836576707,0.4409094116633463,2535.36784854345,2550.520038150412
65,2025-07-05,0.21057377553711798,0.17130212134331976,1.596084955398111,1.1348236961059797,1.05286887768559,0.8565106067165987,2247203693.1984444,3832.4412373705522,0.4426720435454613,2534.8847270415704,2550.0369166485325
66,2025-07-06,0.20843509377598693,0.16950066997898372,1.5860289193756463,1.1509160285098539,1.0421754688799345,0.8475033498949186,2204643389.316848,3795.9760164025774,0.45322740497540526,2531.9592335253765,2547.1114231323386
67,2025-07-07,0.20843508321208867,0.16950066956382134,1.5860287077963886,1.1509159460523346,1.0421754160604433,0.8475033478191066,2226353193.575016,3814.620303854868,0.4478431663864183,2533.4585019488673,2548.6106915558294
68,2025-07-08,0.20786780054644716,0.16969262567330493,1.5861562406346765,1.144839518523003,1.0393390027322358,0.8484631283665246,2249309060.060186,3834.236091534027,0.4421498924764715,2535.0280030294575,2550.1801926364196
69,2025-07-09,0.20762449670671085,0.1696817443166337,1.5836422785776478,1.144906285987257,1.038122483533554,0.8484087215831684,2269500380.5239296,3851.4069923104516,0.4371422523563361,2536.3953067989555,2551.5474964059176
70,2025-07-10,0.20754263668434353,0.1677255146307356,1.5838484175933298,1.1454708640610596,1.0377131834217175,0.838627573153678,2281120456.3342657,3861.254204054498,0.43426036268838,2537.1766839019488,2552.328873508911
71,2025-07-11,0.20755073657558384,0.16772453529572828,1.5836623781003631,1.145967288618168,1.0377536828779192,0.8386226764786414,2301200394.153264,3878.2116306336507,0.42928034652684177,2538.517598364915,2553.669787971877
72,2025-07-12,0.20754931261227016,0.16772400016479616,1.5838720925055052,1.146255154043599,1.0377465630613507,0.8386200008239808,2324214269.5087676,3897.5560211452766,0.4235726858635902,2540.0401221782454,2555.1923117852075
73,2025-07-13,0.20756754060058363,0.16516009719459196,1.5780243855574263,1.146136873934204,1.037837703002918,0.8258004859729597,2341366467.3730583,3911.911144998038,0.4193187771443485,2541.1650831398356,2556.3172727467977
74,2025-07-14,0.20727318149211896,0.16412152447717773,1.5784819840171347,1.145027608674692,1.0363659074605946,0.8206076223858886,2353939882.1696644,3922.4007939063317,0.4162004503120026,2541.9845129785035,2557.1367025854656
75,2025-07-15,0.2060560361535622,0.16745375304468327,1.579371260188881,1.140493402891063,1.0302801807678108,0.8372687652234163,2366809959.8013897,3933.1089665165323,0.4130085482660907,2542.8187561907703,2557.9709457977324
76,2025-07-16,0.20604776770986655,0.16745365813019944,1.5798255135677688,1.1406281008311394,1.0302388385493326,0.8372682906509972,2382727806.156003,3946.3127541999006,0.4090607704981808,2543.8443042465033,2558.9964938534654
77,2025-07-17,0.20612139376278116,0.16404335344343657,1.5844910671172814,1.1392233225088735,1.0306069688139057,0.8202167672171828,2387682100.4469767,3950.4133153884723,0.40783205824516167,2544.162099703868,2559.31428931083
78,2025-07-18,0.20603171963408004,0.16419401002330491,1.5851258363937606,1.1396598380812086,1.0301585981704002,0.8209700501165246,2403339850.2499433,3963.3450009310136,0.4039487869036379,2545.16215533861,2560.314344945572
79,2025-07-19,0.20588937070452484,0.16191014501631695,1.5848058359470734,1.1398694973194914,1.0294468535226242,0.8095507250815848,2415986592.730043,3973.7591829383937,0.40081227410616704,2545.9651538753997,2561.117343482362
80,2025-07-20,0.20550589651969664,0.1635565851140092,1.5830362142178773,1.1401584373305744,1.027529482598483,0.817782925570046,2431135934.387922,3986.198357952181,0.3970550928353406,2546.9215385378006,2562.0737281447628
81,2025-07-21,0.2055059095226502,0.1635565842670383,1.5830363499544224,1.1401584549741715,1.0275295476132509,0.8177829213351915,2448815222.4068294,4000.665975937635,0.3926704607287935,2548.0301327897223,2563.1823223966844
82,2025-07-22,0.20532792806012082,0.16375878347771555,1.5770862320884431,1.1447787879905298,1.026639640300604,0.8187939173885778,2460924440.270376,4010.5452828536236,0.3896672591647432,2548.784842496177,2563.9370321031392
83,2025-07-23,0.20545176068552282,0.16159902071633422,1.6132465778808058,1.1840465265765445,1.027258803427614,0.807995103581671,2429512954.7877455,3984.867581129339,0.39745760726101165,2546.8193645714373,2561.9715541783994
84,2025-07-24,0.20486678331106464,0.15965486487141128,1.6141417233089357,1.1837103121154908,1.0243339165553231,0.7982743243570564,2416527012.9210787,3974.2035934383825,0.4006782447426481,2545.999373867859,2561.151563474821
85,2025-07-25,0.20401889834879677,0.1605095506981135,1.61141660701216,1.1848258116595323,1.0200944917439838,0.8025477534905675,2412088500.94332,3970.5521429507735,0.40177903806091764,2545.7180955089125,2560.8702851158746
86,2025-07-26,0.20401889834879677,0.1605095506981135,1.61141660701216,1.1848258116595323,1.0200944917439838,0.8025477534905675,2429521262.9294124,3984.8743945970386,0.3974555467626104,2546.8198877806253,2561.9720773875874
