replicate,seed,success,error,change_index,change_date,beta1,beta2,e_mult,i_mult,R_before,R_after,optimizer_success,SSE,RMSE,R2,AIC,BIC
257,2340222216,True,,21,2025-05-22,0.2769537876946564,0.17462116667601757,1.002503555954655,0.9782278623782561,1.384768938473282,0.8731058333800878,True,632725551.0420762,2033.5833196409894,0.8499647464963289,2340.9717375947384,2356.1239272017006
258,3934866214,True,,18,2025-05-19,0.27614485564057356,0.17986902627505139,1.0090244176952081,0.9964003540755573,1.3807242782028677,0.8993451313752568,True,939368857.5724316,2477.8348887219113,0.7382664370846039,2401.4329713065354,2416.5851609134975
259,4185409368,True,,21,2025-05-22,0.2873040487317525,0.17686997561964585,0.9912155682145722,1.137586741144605,1.4365202436587625,0.8843498780982292,True,407798520.6526818,1632.589908148235,0.886098305331221,2273.7644176626422,2288.9166072696044
260,3563689561,True,,22,2025-05-23,0.266629921039939,0.17359102120925643,0.9996262184537409,0.9999636713037954,1.333149605199695,0.8679551060462821,True,416840541.70778483,1650.590192936515,0.9036856241715321,2277.119787861753,2292.2719774687152
261,2238955517,True,,23,2025-05-24,0.2869985249189419,0.1744804116437904,1.0125566477965078,1.0069668434711851,1.4349926245947093,0.872402058218952,True,360162774.33414423,1534.276722435519,0.9132160903920307,2254.759193664394,2269.911383271356
262,464869948,True,,22,2025-05-23,0.2695801399449239,0.1716960702467245,1.029046545457923,0.9920912855101567,1.3479006997246195,0.8584803512336225,True,599012123.448546,1978.6641751354255,0.8690871680201023,2332.5942345162653,2347.7464241232274
263,2281990794,True,,25,2025-05-26,0.27288833698146575,0.1749253297710702,1.0003366760513221,0.9517307641363865,1.3644416849073286,0.8746266488553509,True,676303386.7433326,2102.4470441573158,0.8321177175672163,2351.162304560654,2366.314494167616
264,2962293971,True,,23,2025-05-24,0.2717046835993821,0.16976092956514321,1.003036035733817,0.995175349299707,1.3585234179969103,0.8488046478257161,True,642697930.6989999,2049.546308315112,0.8550883696213276,2343.364362794361,2358.516552401323
265,2897789298,True,,22,2025-05-23,0.28082488120798627,0.17617256040331034,0.9994613480580344,1.0009924493710975,1.4041244060399312,0.8808628020165516,True,283178960.9683008,1360.456865227912,0.9193128176519745,2217.966210905632,2233.1184005125942
266,4052316334,True,,22,2025-05-23,0.27801339166190797,0.1755067871348726,0.9730988173882769,0.9974091812664861,1.3900669583095397,0.877533935674363,True,387820573.7196486,1592.0976702550915,0.8948887570438123,2266.0791608466707,2281.231350453633
267,1256496639,True,,20,2025-05-21,0.275780659831503,0.17267574061654703,0.9840594053532503,0.9998455120605887,1.378903299157515,0.8633787030827351,True,538637591.5985317,1876.301450895065,0.8687729470473051,2316.339688258884,2331.491877865846
